Hora_Recebimento,Tempo_ms,Pacote_ID,Latitude,Longitude,Satélites
10:33:07.932,100,5,-19.67650056020745,-43.212003477175166,12
10:33:08.163,200,10,-19.67649682123962,-43.21199494542654,12
10:33:08.371,300,15,-19.676486832363807,-43.21199281856193,12
10:33:08.580,400,20,-19.67648438892095,-43.211985182215585,12
10:33:08.788,500,25,-19.67648011505691,-43.21197988212299,12
10:33:09.003,600,30,-19.67647643013708,-43.21197803979883,12
10:33:09.217,700,35,-19.676473277964426,-43.21197376965406,12
10:33:09.426,800,40,-19.67646642637267,-43.21196830226905,12
10:33:09.634,900,45,-19.676467206296596,-43.211963745096774,12
10:33:09.842,1000,50,-19.67646203856161,-43.211960783640876,12
10:33:10.052,1100,55,-19.676458028517875,-43.21196179071569,12
10:33:10.264,1200,60,-19.676452917350712,-43.21195635937451,12
10:33:10.472,1300,65,-19.676449043923494,-43.21195175189678,12
10:33:10.683,1400,70,-19.67644299738939,-43.21194512954751,12
10:33:10.900,1500,75,-19.676436272128456,-43.211945267960886,12
10:33:11.110,1600,80,-19.67643632688985,-43.2119399217212,12
10:33:11.318,1700,85,-19.67643236416468,-43.211931450029915,12
10:33:11.539,1800,90,-19.67642478472142,-43.21192829001071,12
10:33:11.751,1900,95,-19.67641932411759,-43.211924380160255,12
10:33:11.964,2000,100,-19.6764237887949,-43.21191749598905,12
10:33:12.175,2100,105,-19.676412979602308,-43.21191107078728,12
10:33:12.387,2200,110,-19.676413403923558,-43.2119091276291,12
10:33:12.598,2300,115,-19.67640795953097,-43.2119058652538,12
10:33:12.810,2400,120,-19.67640023791891,-43.2119064297058,12
10:33:13.019,2500,125,-19.67639988613444,-43.211901050483455,12
10:33:13.229,2600,130,-19.676395355820564,-43.2118933346558,12
10:33:13.438,2700,135,-19.676385256469665,-43.21189185033544,12
10:33:13.663,2800,140,-19.676386429325234,-43.21188541341869,12
10:33:13.871,2900,145,-19.67638570007504,-43.21188594525598,12
10:33:14.081,3000,150,-19.676377271108876,-43.211873354621716,12
10:33:14.289,3100,155,-19.676368236160517,-43.211872389534655,12
10:33:14.496,3200,160,-19.676368093942667,-43.21186404110449,12
10:33:14.707,3300,165,-19.67636241140358,-43.21186212977316,12
10:33:14.921,3400,170,-19.676355857390025,-43.21185711351061,12
10:33:15.140,3500,175,-19.67635518032692,-43.21185872134219,12
10:33:15.355,3600,180,-19.676349170660973,-43.21185137404182,12
10:33:15.565,3700,185,-19.67634817456492,-43.21184884449347,12
10:33:15.780,3800,190,-19.676347384069068,-43.21183892071201,12
10:33:15.989,3900,195,-19.67633953031571,-43.21184377676028,12
10:33:16.214,4000,200,-19.676332245666295,-43.211834767910105,12
10:33:16.426,4100,205,-19.67633201165002,-43.2118306229461,12
10:33:16.636,4200,210,-19.676330152524805,-43.21182646819149,12
10:33:16.849,4300,215,-19.676323134973206,-43.21182295405533,12
10:33:17.059,4400,220,-19.67631425192739,-43.21181862344778,12
10:33:17.269,4500,225,-19.676316459863944,-43.21181095855118,12
10:33:17.484,4600,230,-19.676307552323742,-43.21181322365984,12
